| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 0.9514 s |
| 1 | 2개 | 0.5565 s |
| 1 | 4개 | 0.6669 s |
| 1 | 8개 | 1.2048 s |
| 1 | 12개 | 1.8024 s |
| 1 | 16개 | 2.0356 s |
| 1 | 32개 | 1.8006 s |
| 1 | 64개 | 1.7083 s |
| 1 | 128개 | 1.6538 s |
| 10 | 1개 | 0.9051 s |
| 10 | 2개 | 0.4637 s |
| 10 | 4개 | 0.2590 s |
| 10 | 8개 | 0.1870 s |
| 10 | 12개 | 0.1860 s |
| 10 | 16개 | 0.1941 s |
| 10 | 32개 | 0.2066 s |
| 10 | 64개 | 0.2029 s |
| 10 | 128개 | 0.2032 s |
| 100 | 1개 | 0.9039 s |
| 100 | 2개 | 0.4966 s |
| 100 | 4개 | 0.2369 s |
| 100 | 8개 | 0.1619 s |
| 100 | 12개 | 0.1405 s |
| 100 | 16개 | 0.1360 s |
| 100 | 32개 | 0.1359 s |
| 100 | 64개 | 0.1368 s |
| 100 | 128개 | 0.1380 s |
| 1000 | 1개 | 0.9044 s |
| 1000 | 2개 | 0.4593 s |
| 1000 | 4개 | 0.2455 s |
| 1000 | 8개 | 0.1628 s |
| 1000 | 12개 | 0.1384 s |
| 1000 | 16개 | 0.1351 s |
| 1000 | 32개 | 0.1352 s |
| 1000 | 64개 | 0.1354 s |
| 1000 | 128개 | 0.1371 s |
| 10000 | 1개 | 0.9074 s |
| 10000 | 2개 | 0.4653 s |
| 10000 | 4개 | 0.2389 s |
| 10000 | 8개 | 0.1650 s |
| 10000 | 12개 | 0.1383 s |
| 10000 | 16개 | 0.1355 s |
| 10000 | 32개 | 0.1364 s |
| 10000 | 64개 | 0.1361 s |
| 10000 | 128개 | 0.1363 s |
| 100000 | 1개 | 0.9061 s |
| 100000 | 2개 | 0.4786 s |
| 100000 | 4개 | 0.2402 s |
| 100000 | 8개 | 0.1681 s |
| 100000 | 12개 | 0.1478 s |
| 100000 | 16개 | 0.1399 s |
| 100000 | 32개 | 0.1428 s |
| 100000 | 64개 | 0.1383 s |
| 100000 | 128개 | 0.1391 s |
| 1000000 | 1개 | 0.8977 s |
| 1000000 | 2개 | 0.4849 s |
| 1000000 | 4개 | 0.2972 s |
| 1000000 | 8개 | 0.2206 s |
| 1000000 | 12개 | 0.1939 s |
| 1000000 | 16개 | 0.2041 s |
| 1000000 | 32개 | 0.2080 s |
| 1000000 | 64개 | 0.1945 s |
| 1000000 | 128개 | 0.1765 s |
| 5000000 | 1개 | 0.8971 s |
| 5000000 | 2개 | 0.5662 s |
| 5000000 | 4개 | 0.5695 s |
| 5000000 | 8개 | 0.5819 s |
| 5000000 | 12개 | 0.6080 s |
| 5000000 | 16개 | 0.5672 s |
| 5000000 | 32개 | 0.5656 s |
| 5000000 | 64개 | 0.6282 s |
| 5000000 | 128개 | 0.5680 s |
| 10000000 | 1개 | 0.8978 s |
| 10000000 | 2개 | 0.8992 s |
| 10000000 | 4개 | 0.8998 s |
| 10000000 | 8개 | 0.9001 s |
| 10000000 | 12개 | 0.9040 s |
| 10000000 | 16개 | 0.9001 s |
| 10000000 | 32개 | 0.9043 s |
| 10000000 | 64개 | 0.9015 s |
| 10000000 | 128개 | 0.9089 s |
