| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 8.9863 s |
| 1 | 2개 | 5.1790 s |
| 1 | 4개 | 3.2474 s |
| 1 | 8개 | 3.9339 s |
| 1 | 12개 | 5.3556 s |
| 1 | 16개 | 5.5718 s |
| 1 | 32개 | 5.5839 s |
| 1 | 64개 | 5.6976 s |
| 1 | 128개 | 5.6617 s |
| 10 | 1개 | 8.8546 s |
| 10 | 2개 | 4.9201 s |
| 10 | 4개 | 2.7067 s |
| 10 | 8개 | 1.5473 s |
| 10 | 12개 | 1.4077 s |
| 10 | 16개 | 1.4211 s |
| 10 | 32개 | 1.4242 s |
| 10 | 64개 | 1.4224 s |
| 10 | 128개 | 1.4226 s |
| 100 | 1개 | 8.8012 s |
| 100 | 2개 | 4.9548 s |
| 100 | 4개 | 2.6743 s |
| 100 | 8개 | 1.5421 s |
| 100 | 12개 | 1.3919 s |
| 100 | 16개 | 1.3836 s |
| 100 | 32개 | 1.3867 s |
| 100 | 64개 | 1.3893 s |
| 100 | 128개 | 1.3868 s |
| 1000 | 1개 | 8.7850 s |
| 1000 | 2개 | 4.9333 s |
| 1000 | 4개 | 2.6931 s |
| 1000 | 8개 | 1.5223 s |
| 1000 | 12개 | 1.3848 s |
| 1000 | 16개 | 1.3873 s |
| 1000 | 32개 | 1.3826 s |
| 1000 | 64개 | 1.3820 s |
| 1000 | 128개 | 1.3857 s |
| 10000 | 1개 | 8.7488 s |
| 10000 | 2개 | 4.8901 s |
| 10000 | 4개 | 2.6532 s |
| 10000 | 8개 | 1.5553 s |
| 10000 | 12개 | 1.3911 s |
| 10000 | 16개 | 1.3899 s |
| 10000 | 32개 | 1.3908 s |
| 10000 | 64개 | 1.3888 s |
| 10000 | 128개 | 1.3943 s |
| 100000 | 1개 | 8.7006 s |
| 100000 | 2개 | 4.9592 s |
| 100000 | 4개 | 2.7281 s |
| 100000 | 8개 | 1.5837 s |
| 100000 | 12개 | 1.3987 s |
| 100000 | 16개 | 1.3964 s |
| 100000 | 32개 | 1.3919 s |
| 100000 | 64개 | 1.3929 s |
| 100000 | 128개 | 1.3908 s |
| 1000000 | 1개 | 8.8618 s |
| 1000000 | 2개 | 4.9795 s |
| 1000000 | 4개 | 2.8263 s |
| 1000000 | 8개 | 1.7035 s |
| 1000000 | 12개 | 1.4955 s |
| 1000000 | 16개 | 1.4658 s |
| 1000000 | 32개 | 1.4313 s |
| 1000000 | 64개 | 1.4107 s |
| 1000000 | 128개 | 1.4104 s |
| 5000000 | 1개 | 8.8317 s |
| 5000000 | 2개 | 5.2683 s |
| 5000000 | 4개 | 3.2447 s |
| 5000000 | 8개 | 2.2472 s |
| 5000000 | 12개 | 1.7162 s |
| 5000000 | 16개 | 1.7258 s |
| 5000000 | 32개 | 1.7084 s |
| 5000000 | 64개 | 1.6961 s |
| 5000000 | 128개 | 1.6945 s |
| 10000000 | 1개 | 8.7394 s |
| 10000000 | 2개 | 5.5214 s |
| 10000000 | 4개 | 3.7283 s |
| 10000000 | 8개 | 2.8576 s |
| 10000000 | 12개 | 2.8987 s |
| 10000000 | 16개 | 2.8591 s |
| 10000000 | 32개 | 2.8769 s |
| 10000000 | 64개 | 2.8455 s |
| 10000000 | 128개 | 2.7889 s |
