| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 0.9253 s |
| 1 | 2개 | 0.5658 s |
| 1 | 4개 | 0.5749 s |
| 1 | 8개 | 0.8691 s |
| 1 | 12개 | 1.1349 s |
| 1 | 16개 | 1.1733 s |
| 1 | 32개 | 1.1755 s |
| 1 | 64개 | 1.1564 s |
| 1 | 128개 | 1.1468 s |
| 10 | 1개 | 0.8965 s |
| 10 | 2개 | 0.5024 s |
| 10 | 4개 | 0.2755 s |
| 10 | 8개 | 0.1711 s |
| 10 | 12개 | 0.1637 s |
| 10 | 16개 | 0.1655 s |
| 10 | 32개 | 0.1618 s |
| 10 | 64개 | 0.1622 s |
| 10 | 128개 | 0.1623 s |
| 100 | 1개 | 0.8859 s |
| 100 | 2개 | 0.5002 s |
| 100 | 4개 | 0.2588 s |
| 100 | 8개 | 0.1546 s |
| 100 | 12개 | 0.1417 s |
| 100 | 16개 | 0.1416 s |
| 100 | 32개 | 0.1415 s |
| 100 | 64개 | 0.1420 s |
| 100 | 128개 | 0.1425 s |
| 1000 | 1개 | 0.9056 s |
| 1000 | 2개 | 0.5047 s |
| 1000 | 4개 | 0.2749 s |
| 1000 | 8개 | 0.1526 s |
| 1000 | 12개 | 0.1415 s |
| 1000 | 16개 | 0.1418 s |
| 1000 | 32개 | 0.1420 s |
| 1000 | 64개 | 0.1419 s |
| 1000 | 128개 | 0.1424 s |
| 10000 | 1개 | 0.8957 s |
| 10000 | 2개 | 0.4899 s |
| 10000 | 4개 | 0.2665 s |
| 10000 | 8개 | 0.1570 s |
| 10000 | 12개 | 0.1424 s |
| 10000 | 16개 | 0.1424 s |
| 10000 | 32개 | 0.1421 s |
| 10000 | 64개 | 0.1423 s |
| 10000 | 128개 | 0.1424 s |
| 100000 | 1개 | 0.9035 s |
| 100000 | 2개 | 0.5037 s |
| 100000 | 4개 | 0.2674 s |
| 100000 | 8개 | 0.1599 s |
| 100000 | 12개 | 0.1479 s |
| 100000 | 16개 | 0.1463 s |
| 100000 | 32개 | 0.1459 s |
| 100000 | 64개 | 0.1449 s |
| 100000 | 128개 | 0.1438 s |
| 1000000 | 1개 | 0.8913 s |
| 1000000 | 2개 | 0.5077 s |
| 1000000 | 4개 | 0.3165 s |
| 1000000 | 8개 | 0.2222 s |
| 1000000 | 12개 | 0.1752 s |
| 1000000 | 16개 | 0.1759 s |
| 1000000 | 32개 | 0.1721 s |
| 1000000 | 64개 | 0.1780 s |
| 1000000 | 128개 | 0.1757 s |
| 5000000 | 1개 | 0.8822 s |
| 5000000 | 2개 | 0.5821 s |
| 5000000 | 4개 | 0.6039 s |
| 5000000 | 8개 | 0.6131 s |
| 5000000 | 12개 | 0.6068 s |
| 5000000 | 16개 | 0.5951 s |
| 5000000 | 32개 | 0.5860 s |
| 5000000 | 64개 | 0.5892 s |
| 5000000 | 128개 | 0.5949 s |
| 10000000 | 1개 | 0.8986 s |
| 10000000 | 2개 | 0.8973 s |
| 10000000 | 4개 | 0.8916 s |
| 10000000 | 8개 | 0.8968 s |
| 10000000 | 12개 | 0.9049 s |
| 10000000 | 16개 | 0.9123 s |
| 10000000 | 32개 | 0.8975 s |
| 10000000 | 64개 | 0.9079 s |
| 10000000 | 128개 | 0.8982 s |
