| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 0.3633 s |
| 1 | 2개 | 0.2473 s |
| 1 | 4개 | 0.3669 s |
| 1 | 8개 | 0.6075 s |
| 1 | 12개 | 0.9094 s |
| 1 | 16개 | 0.9124 s |
| 1 | 32개 | 0.9216 s |
| 1 | 64개 | 0.8600 s |
| 1 | 128개 | 0.8162 s |
| 10 | 1개 | 0.3446 s |
| 10 | 2개 | 0.1802 s |
| 10 | 4개 | 0.1019 s |
| 10 | 8개 | 0.0827 s |
| 10 | 12개 | 0.0897 s |
| 10 | 16개 | 0.1018 s |
| 10 | 32개 | 0.1021 s |
| 10 | 64개 | 0.1040 s |
| 10 | 128개 | 0.1005 s |
| 100 | 1개 | 0.3447 s |
| 100 | 2개 | 0.1766 s |
| 100 | 4개 | 0.0909 s |
| 100 | 8개 | 0.0674 s |
| 100 | 12개 | 0.0531 s |
| 100 | 16개 | 0.0530 s |
| 100 | 32개 | 0.0518 s |
| 100 | 64개 | 0.0537 s |
| 100 | 128개 | 0.0548 s |
| 1000 | 1개 | 0.3470 s |
| 1000 | 2개 | 0.1744 s |
| 1000 | 4개 | 0.0943 s |
| 1000 | 8개 | 0.0644 s |
| 1000 | 12개 | 0.0544 s |
| 1000 | 16개 | 0.0532 s |
| 1000 | 32개 | 0.0518 s |
| 1000 | 64개 | 0.0526 s |
| 1000 | 128개 | 0.0533 s |
| 10000 | 1개 | 0.3412 s |
| 10000 | 2개 | 0.2095 s |
| 10000 | 4개 | 0.0903 s |
| 10000 | 8개 | 0.0657 s |
| 10000 | 12개 | 0.0543 s |
| 10000 | 16개 | 0.0525 s |
| 10000 | 32개 | 0.0531 s |
| 10000 | 64개 | 0.0528 s |
| 10000 | 128개 | 0.0525 s |
| 100000 | 1개 | 0.3433 s |
| 100000 | 2개 | 0.1775 s |
| 100000 | 4개 | 0.0948 s |
| 100000 | 8개 | 0.0636 s |
| 100000 | 12개 | 0.0589 s |
| 100000 | 16개 | 0.0577 s |
| 100000 | 32개 | 0.0559 s |
| 100000 | 64개 | 0.0574 s |
| 100000 | 128개 | 0.0568 s |
| 1000000 | 1개 | 0.3421 s |
| 1000000 | 2개 | 0.2287 s |
| 1000000 | 4개 | 0.1396 s |
| 1000000 | 8개 | 0.1126 s |
| 1000000 | 12개 | 0.1022 s |
| 1000000 | 16개 | 0.1113 s |
| 1000000 | 32개 | 0.1102 s |
| 1000000 | 64개 | 0.1069 s |
| 1000000 | 128개 | 0.1056 s |
| 5000000 | 1개 | 0.3433 s |
| 5000000 | 2개 | 0.3426 s |
| 5000000 | 4개 | 0.3416 s |
| 5000000 | 8개 | 0.3436 s |
| 5000000 | 12개 | 0.3492 s |
| 5000000 | 16개 | 0.3433 s |
| 5000000 | 32개 | 0.3447 s |
| 5000000 | 64개 | 0.3428 s |
| 5000000 | 128개 | 0.3501 s |
| 10000000 | 1개 | 0.3431 s |
| 10000000 | 2개 | 0.3422 s |
| 10000000 | 4개 | 0.3418 s |
| 10000000 | 8개 | 0.3445 s |
| 10000000 | 12개 | 0.3494 s |
| 10000000 | 16개 | 0.3430 s |
| 10000000 | 32개 | 0.3434 s |
| 10000000 | 64개 | 0.3433 s |
| 10000000 | 128개 | 0.3458 s |
