| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 24.2592 s |
| 1 | 2개 | 13.7978 s |
| 1 | 4개 | 8.0839 s |
| 1 | 8개 | 8.3273 s |
| 1 | 12개 | 9.9576 s |
| 1 | 16개 | 10.3729 s |
| 1 | 32개 | 10.7617 s |
| 1 | 64개 | 10.7488 s |
| 1 | 128개 | 10.7190 s |
| 10 | 1개 | 23.9087 s |
| 10 | 2개 | 13.4151 s |
| 10 | 4개 | 7.3358 s |
| 10 | 8개 | 4.2533 s |
| 10 | 12개 | 3.7801 s |
| 10 | 16개 | 3.7845 s |
| 10 | 32개 | 3.8373 s |
| 10 | 64개 | 3.8092 s |
| 10 | 128개 | 3.8009 s |
| 100 | 1개 | 24.3435 s |
| 100 | 2개 | 13.3864 s |
| 100 | 4개 | 7.3726 s |
| 100 | 8개 | 4.2509 s |
| 100 | 12개 | 3.8000 s |
| 100 | 16개 | 3.7993 s |
| 100 | 32개 | 3.7350 s |
| 100 | 64개 | 3.7747 s |
| 100 | 128개 | 3.7403 s |
| 1000 | 1개 | 23.8935 s |
| 1000 | 2개 | 13.3774 s |
| 1000 | 4개 | 7.3750 s |
| 1000 | 8개 | 4.2570 s |
| 1000 | 12개 | 3.7857 s |
| 1000 | 16개 | 3.8283 s |
| 1000 | 32개 | 3.7446 s |
| 1000 | 64개 | 3.7330 s |
| 1000 | 128개 | 3.7387 s |
| 10000 | 1개 | 23.7385 s |
| 10000 | 2개 | 13.0789 s |
| 10000 | 4개 | 7.3260 s |
| 10000 | 8개 | 4.2391 s |
| 10000 | 12개 | 3.8158 s |
| 10000 | 16개 | 3.8406 s |
| 10000 | 32개 | 3.7435 s |
| 10000 | 64개 | 3.7418 s |
| 10000 | 128개 | 3.7405 s |
| 100000 | 1개 | 24.0591 s |
| 100000 | 2개 | 13.2634 s |
| 100000 | 4개 | 7.3966 s |
| 100000 | 8개 | 4.2540 s |
| 100000 | 12개 | 3.7941 s |
| 100000 | 16개 | 3.7812 s |
| 100000 | 32개 | 3.7475 s |
| 100000 | 64개 | 3.7424 s |
| 100000 | 128개 | 3.7432 s |
| 1000000 | 1개 | 23.6799 s |
| 1000000 | 2개 | 13.2166 s |
| 1000000 | 4개 | 7.4753 s |
| 1000000 | 8개 | 4.3640 s |
| 1000000 | 12개 | 3.9330 s |
| 1000000 | 16개 | 3.8836 s |
| 1000000 | 32개 | 3.7888 s |
| 1000000 | 64개 | 3.7767 s |
| 1000000 | 128개 | 3.7622 s |
| 5000000 | 1개 | 23.8522 s |
| 5000000 | 2개 | 13.6157 s |
| 5000000 | 4개 | 7.8244 s |
| 5000000 | 8개 | 4.9985 s |
| 5000000 | 12개 | 4.3485 s |
| 5000000 | 16개 | 4.4406 s |
| 5000000 | 32개 | 3.9669 s |
| 5000000 | 64개 | 4.0266 s |
| 5000000 | 128개 | 3.9796 s |
| 10000000 | 1개 | 23.8496 s |
| 10000000 | 2개 | 13.5811 s |
| 10000000 | 4개 | 8.7619 s |
| 10000000 | 8개 | 6.0785 s |
| 10000000 | 12개 | 4.7243 s |
| 10000000 | 16개 | 4.7118 s |
| 10000000 | 32개 | 4.6100 s |
| 10000000 | 64개 | 4.5971 s |
| 10000000 | 128개 | 4.6697 s |
