| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 9.0112 s |
| 1 | 2개 | 4.8467 s |
| 1 | 4개 | 3.3219 s |
| 1 | 8개 | 5.6798 s |
| 1 | 12개 | 8.4032 s |
| 1 | 16개 | 10.2619 s |
| 1 | 32개 | 10.3021 s |
| 1 | 64개 | 9.8297 s |
| 1 | 128개 | 9.7882 s |
| 10 | 1개 | 8.8045 s |
| 10 | 2개 | 4.6484 s |
| 10 | 4개 | 2.4987 s |
| 10 | 8개 | 1.4951 s |
| 10 | 12개 | 1.4252 s |
| 10 | 16개 | 1.3865 s |
| 10 | 32개 | 1.4715 s |
| 10 | 64개 | 1.4741 s |
| 10 | 128개 | 1.4697 s |
| 100 | 1개 | 8.7849 s |
| 100 | 2개 | 4.9745 s |
| 100 | 4개 | 2.3877 s |
| 100 | 8개 | 1.7010 s |
| 100 | 12개 | 1.3583 s |
| 100 | 16개 | 1.2865 s |
| 100 | 32개 | 1.3052 s |
| 100 | 64개 | 1.3002 s |
| 100 | 128개 | 1.3031 s |
| 1000 | 1개 | 8.7405 s |
| 1000 | 2개 | 4.6864 s |
| 1000 | 4개 | 2.5237 s |
| 1000 | 8개 | 1.5599 s |
| 1000 | 12개 | 1.3525 s |
| 1000 | 16개 | 1.2898 s |
| 1000 | 32개 | 1.2938 s |
| 1000 | 64개 | 1.2965 s |
| 1000 | 128개 | 1.3164 s |
| 10000 | 1개 | 8.7530 s |
| 10000 | 2개 | 4.7301 s |
| 10000 | 4개 | 2.6372 s |
| 10000 | 8개 | 1.7630 s |
| 10000 | 12개 | 1.5039 s |
| 10000 | 16개 | 1.3622 s |
| 10000 | 32개 | 1.3733 s |
| 10000 | 64개 | 1.3736 s |
| 10000 | 128개 | 1.3707 s |
| 100000 | 1개 | 8.7545 s |
| 100000 | 2개 | 4.7942 s |
| 100000 | 4개 | 2.5506 s |
| 100000 | 8개 | 1.7790 s |
| 100000 | 12개 | 1.5285 s |
| 100000 | 16개 | 1.3996 s |
| 100000 | 32개 | 1.3853 s |
| 100000 | 64개 | 1.3810 s |
| 100000 | 128개 | 1.3789 s |
| 1000000 | 1개 | 8.7556 s |
| 1000000 | 2개 | 5.0707 s |
| 1000000 | 4개 | 2.7198 s |
| 1000000 | 8개 | 1.8394 s |
| 1000000 | 12개 | 1.6101 s |
| 1000000 | 16개 | 1.4921 s |
| 1000000 | 32개 | 1.4739 s |
| 1000000 | 64개 | 1.4245 s |
| 1000000 | 128개 | 1.4186 s |
| 5000000 | 1개 | 8.7653 s |
| 5000000 | 2개 | 4.9805 s |
| 5000000 | 4개 | 3.0557 s |
| 5000000 | 8개 | 2.3560 s |
| 5000000 | 12개 | 1.8924 s |
| 5000000 | 16개 | 2.0141 s |
| 5000000 | 32개 | 1.9243 s |
| 5000000 | 64개 | 2.0746 s |
| 5000000 | 128개 | 2.0802 s |
| 10000000 | 1개 | 8.7500 s |
| 10000000 | 2개 | 5.2858 s |
| 10000000 | 4개 | 3.6383 s |
| 10000000 | 8개 | 3.0250 s |
| 10000000 | 12개 | 2.8082 s |
| 10000000 | 16개 | 2.8022 s |
| 10000000 | 32개 | 2.7026 s |
| 10000000 | 64개 | 2.8123 s |
| 10000000 | 128개 | 2.8161 s |
